id	code	name	rufname	rasse	geschlecht	geburtsdatum	gewicht_kg	groesse_cm	kunden_id	trainingsziele	notizen	felltyp	kastriert	fellfarbe	groesse_typ	herkunft	chip_nummer	created_at	updated_at	schema_version	version	status
019b6fbf-c2b8-77a6-a2ec-c61e22ddfefc	DT-128	Frasco	Frasco	Beauceron	M	2010-06-19	0.00	NULL	019b6f8b-fc48-7dd8-99a0-d06e741a960b			kurzhaar	NULL	schwarz braun		Hund	756098100447519			1	0	
019b6fbf-c2b8-77ad-b52d-126446ec077a	DT-14	Filou	Filou	Malteser	M	2004-11-09	0.00	NULL	019b6f8b-fc43-78ca-a167-9bee3277aab7				NULL			Hund				1	0	
019b6fbf-c2b8-77c2-83e1-a79135723072	DT-63	Nuna	Nuna	Weisser Schäfer x Husky	W	2009-12-25	0.00	NULL	019b6f8b-fc48-731f-bf58-8c62a8b26405				NULL			Hund				1	0	
019b6fbf-c2b8-77dc-ba48-6a633225dcd4	DT-115	Inka	Inka	Altdeutscher Schäferhund	W	2009-01-06	0.00	NULL	019b6f8b-fc48-7347-b758-31c2a14a78eb				NULL			Hund	756 089 100 458 029			1	0	
019b6fbf-c2b8-7816-961f-833d632aa172	DT-65	Chiara of Plainfairs	Chiara	Flatcoated Retriever	W	2009-01-30	0.00	NULL	019b6f8b-fc48-7126-832b-5feaa60a45b9				NULL			Hund				1	0	
019b6fbf-c2b8-7832-9b38-bfdf1a42d7c5	DT-150	Cory	Cory	chihuahua Mischling	W	2009-07-01	0.00	NULL	019b6f8b-fc47-707f-b2ba-b08ae31162fa			kurzhaar	1	hellbraun		Hund	941000012655296			1	0	
019b6fbf-c2b8-783e-af50-572cb56a6393	DT-122	Esperanza	Esperanza	Beauceron	W	2009-04-01	0.00	NULL	019b6f8b-fc48-701b-9df5-a8d503aa7801				NULL			Hund				1	0	
019b6fbf-c2b8-7844-bf6b-26990d217ed0	DT-105	Samson	Samson	Golden Retriever	M	2009-07-26	0.00	NULL	019b6f8b-fc48-7a93-b137-cc75096c4384		22.08.2011 such: Starker, temperamentvoller Rüde. Wird nicht erzogen. Falscher Hund für diesen Führer		0			Hund				1	0	
019b6fbf-c2b8-7846-81b4-974c3e4cd2b3	DT-83	Chayenne	Chayenne	Tervueren	W	2010-06-01	0.00	NULL	019b6f8b-fc48-7db7-93ae-3218e59d8868			langhaar	NULL	tricolor braun		Hund				1	0	
019b6fbf-c2b8-787a-8f46-758c01b92ca1	DT-131	Zera	Zera	Labrador Retriever	W	2008-08-06	0.00	NULL	019b6f8b-fc48-77ac-8a62-5e9484f5bb16			kurzhaar	NULL	schwarz		Hund	756 097 200 092 613			1	0	
